,City,Lat,Lng,Country,Wind,Cloud,Humidity,Max Temp.,Date
89,jacareacanga,-6.22,-57.75,BR,1.9,96,77,76.73,1603069388
90,te anau,-45.42,167.72,NZ,2.95,100,90,44.44,1603069389
91,san jose,37.34,-121.89,US,9.17,1,25,87.8,1603069309
92,faanui,-16.48,-151.75,PF,7.58,85,76,79.9,1603069454
93,touros,-5.2,-35.46,BR,8.05,40,83,77.0,1603069257
94,salo,45.61,10.53,IT,5.82,15,87,51.8,1603069454
95,alofi,-19.06,-169.92,NU,10.29,75,94,75.2,1603069454
96,upernavik,72.79,-56.15,GL,8.21,100,89,31.03,1603069455
97,palestine,31.92,35.2,PS,3.36,20,78,73.4,1603069455
98,east london,-33.02,27.91,ZA,3.2,54,74,61.86,1603069455
99,arman,59.7,150.17,RU,12.41,42,83,36.41,1603069455
100,punta arenas,-53.15,-70.92,CL,18.34,40,69,39.2,1603069456
101,soyo,-6.13,12.37,AO,7.36,51,85,76.68,1603069655
102,kalmunai,7.42,81.82,LK,4.05,88,79,78.62,1603069431
103,severo-kurilsk,50.68,156.12,RU,10.78,36,76,50.11,1603069456
104,viedma,-40.81,-63.0,AR,10.63,0,39,58.17,1603069457
105,vulcanesti,45.68,28.4,MD,5.46,37,67,48.78,1603069457
106,carros,43.79,7.18,FR,6.93,11,81,53.6,1603069457
107,rawson,-43.3,-65.1,AR,29.1,0,27,64.18,1603069251
108,dicabisagan,17.08,122.42,PH,9.51,56,72,83.19,1603069457
109,vila velha,-20.33,-40.29,BR,4.7,90,94,69.8,1603069266
110,chokurdakh,70.63,147.92,RU,5.39,97,98,19.56,1603069458
111,lavara,41.27,26.38,GR,8.25,8,54,54.9,1603069458
112,karratha,-20.74,116.85,AU,9.89,0,49,77.09,1603069458
113,baoqing,46.33,132.21,CN,9.24,0,55,45.05,1603069458
114,zhigansk,66.77,123.37,RU,5.32,58,91,9.41,1603069561
115,osa,57.28,55.46,RU,12.95,100,92,45.01,1603069459
116,henties bay,-22.12,14.28,NA,3.0,0,91,59.0,1603069459
117,makaryev,57.88,43.81,RU,12.77,94,82,36.79,1603069459
118,vaini,-21.2,-175.2,TO,16.11,75,78,73.4,1603069460
119,souillac,-20.52,57.52,MU,10.29,40,73,73.4,1603069460
120,hilo,19.73,-155.09,US,3.36,90,88,77.0,1603069238
121,saldanha,-33.01,17.94,ZA,3.36,0,87,53.6,1603069460
122,mamallapuram,12.63,80.17,IN,4.7,75,100,78.8,1603069461
123,nosivka,50.93,31.58,UA,10.49,88,80,43.16,1603069461
124,kiunga,-6.12,141.29,PG,2.15,100,62,87.89,1603069445
125,sabya,17.15,42.63,SA,3.36,0,74,82.4,1603069461
126,beyneu,45.32,55.2,KZ,13.24,0,37,53.06,1603069754
127,walvis bay,-22.96,14.51,NA,8.05,0,93,59.0,1603069565
128,tevaitoa,-16.78,-151.5,PF,11.86,71,79,80.06,1603069271
129,vila,42.03,-8.16,PT,5.99,100,54,57.99,1603069661
130,atbasar,51.8,68.33,KZ,9.19,34,77,34.39,1603069462
131,harper,4.38,-7.72,LR,5.61,90,90,76.51,1603069462
132,ambon,-3.7,128.18,ID,3.36,40,66,87.8,1603069401
133,srandakan,-7.94,110.25,ID,7.58,90,79,80.04,1603069756
134,mount gambier,-37.83,140.77,AU,8.05,90,62,55.4,1603069409
135,iqaluit,63.75,-68.51,CA,20.8,90,94,32.0,1603069270
136,ostersund,63.18,14.64,SE,16.11,0,68,30.2,1603069284
137,pingliang,35.54,106.69,CN,1.83,0,50,48.79,1603069756
138,brokopondo,4.75,-55.17,SR,9.48,0,74,81.14,1603069463
139,libohove,40.03,20.26,AL,2.24,20,87,57.99,1603069464
140,buala,-8.14,159.59,SB,6.02,13,69,86.14,1603069464
141,circleville,39.6,-82.95,US,6.6,90,62,55.99,1603069464
142,portland,45.52,-122.68,US,10.29,75,72,66.99,1603069542
143,khambhat,22.3,72.62,IN,3.36,20,83,80.6,1603069465
144,ayan,56.45,138.17,RU,19.95,38,83,27.12,1603069664
145,zhezkazgan,47.8,67.71,KZ,7.23,0,62,40.89,1603069568
146,aykhal,66.0,111.5,RU,4.47,90,92,12.2,1603069465
147,krasnoselkup,65.7,82.47,RU,12.35,67,97,16.25,1603069466
148,lewiston,44.1,-70.21,US,2.28,1,87,43.0,1603069466
149,mahon,39.89,4.27,ES,4.7,0,67,60.8,1603069466
150,tuktoyaktuk,69.45,-133.04,CA,5.82,40,92,15.8,1603069388
151,paamiut,61.99,-49.67,GL,41.45,100,86,42.46,1603069400
152,bull savanna,17.89,-77.59,JM,9.08,92,85,77.25,1603069467
153,chuy,-33.7,-53.46,UY,7.36,0,83,64.11,1603069467
154,thompson,55.74,-97.86,CA,4.7,75,92,28.4,1603069467
155,ipixuna,-1.76,-48.8,BR,11.41,38,83,78.8,1603069467
156,fort saint james,54.43,-124.25,CA,2.98,100,97,28.63,1603069467
157,montmagny,48.97,2.35,FR,3.36,69,93,46.99,1603069468
158,kodiak,57.79,-152.41,US,5.82,90,70,46.4,1603069308
159,hithadhoo,-0.6,73.08,MV,16.08,100,77,82.83,1603069468
160,avarua,-21.21,-159.78,CK,6.93,13,74,78.8,1603069468
161,victoria,22.29,114.16,HK,10.85,5,73,75.0,1603069380
162,dingle,11.0,122.67,PH,6.46,100,80,83.68,1603069469
163,verkh-usugli,52.7,115.17,RU,2.66,1,84,35.19,1603069469
164,constitucion,-35.33,-72.42,CL,11.86,0,79,50.11,1603069469
165,goya,-29.14,-59.26,AR,8.37,0,66,76.59,1603069469
166,kachug,53.96,105.88,RU,3.02,100,72,40.01,1603069469
167,naze,28.37,129.48,JP,19.46,75,94,75.2,1603069470
168,bauchi,10.5,10.0,NG,4.43,0,70,73.51,1603069470
169,ponta do sol,32.67,-17.1,PT,29.97,75,88,73.4,1603069470
170,bambous virieux,-20.34,57.76,MU,10.29,40,73,73.4,1603069471
171,cockburn town,21.46,-71.14,TC,9.17,40,69,82.4,1603069471
172,prince rupert,54.32,-130.32,CA,3.36,90,100,42.8,1603069346
173,henderson,36.04,-114.98,US,5.82,1,7,89.6,1603069471
174,spirit river,55.78,-118.84,CA,8.05,75,67,21.2,1603069471
175,lixourion,38.2,20.43,GR,7.52,82,65,65.61,1603069472
176,asau,46.43,26.4,RO,4.7,17,100,46.4,1603069472
177,popovo,43.35,26.23,BG,3.36,0,100,41.0,1603069472
178,sao filipe,14.9,-24.5,CV,5.82,100,81,80.29,1603069764
179,farafangana,-22.82,47.83,MG,6.53,100,81,70.88,1603069574
180,pangnirtung,66.15,-65.71,CA,9.4,100,88,34.14,1603069473
181,cabo san lucas,22.89,-109.91,MX,14.99,20,78,84.99,1603069277
182,port lincoln,-34.73,135.87,AU,10.22,7,61,58.93,1603069473
183,okhotsk,59.38,143.3,RU,21.12,21,80,28.18,1603069474
184,zalantun,48.0,122.72,CN,6.93,0,54,46.17,1603069474
185,jahanabad,25.22,84.98,IN,2.24,40,73,75.2,1603069474
186,furano,43.28,142.47,JP,6.93,40,47,55.4,1603069474
187,aginskoye,51.1,114.53,RU,2.93,0,63,42.08,1603069475
188,torbay,47.67,-52.73,CA,2.24,90,100,53.01,1603069475
189,talnakh,69.49,88.4,RU,8.95,90,92,14.0,1603069475
190,mahebourg,-20.41,57.7,MU,10.29,40,73,73.4,1603069277
191,sungairaya,0.7,108.9,ID,2.84,15,67,85.21,1603069476
192,sabha,27.04,14.43,LY,23.09,47,72,70.72,1603069577
193,hamada,34.88,132.08,JP,5.82,75,82,59.0,1603069476
194,georgetown,5.41,100.34,MY,2.24,20,88,82.4,1603069469
195,bandarban,22.2,92.23,BD,5.82,75,94,80.6,1603069476
196,bang saphan,11.21,99.51,TH,4.7,90,100,75.2,1603069477
197,dikson,73.51,80.55,RU,28.57,51,95,27.52,1603069477
198,batsfjord,70.63,29.72,NO,4.7,40,86,28.4,1603069578
199,cruzilia,-21.84,-44.81,BR,7.74,100,86,61.75,1603069478
200,cidreira,-30.18,-50.21,BR,23.09,0,81,68.07,1603069438
201,hofn,64.25,-15.21,IS,26.17,100,86,41.7,1603069478
202,terrace,54.52,-128.6,CA,12.75,90,83,33.8,1603069478
203,caravelas,-17.71,-39.25,BR,9.57,100,80,73.13,1603069479
204,aktash,50.3,87.73,RU,4.52,7,92,10.04,1603069479
205,egvekinot,66.32,-179.17,RU,1.63,0,87,27.68,1603069479
206,nikolskoye,59.7,30.79,RU,6.71,75,86,35.6,1603069479
207,verkhnevilyuysk,63.45,120.32,RU,2.75,20,92,15.33,1603069580
208,statesboro,32.45,-81.78,US,8.01,1,77,68.0,1603069480
209,westport,41.14,-73.36,US,10.29,1,67,57.2,1603069480
210,makakilo city,21.35,-158.09,US,12.75,20,66,84.2,1603069481
211,norman wells,65.28,-126.83,CA,3.36,5,67,21.2,1603069330
212,lorengau,-2.02,147.27,PG,6.31,92,70,85.21,1603069271
213,ihosy,-22.4,46.12,MG,6.08,91,87,63.34,1603069481
214,cacoal,-11.44,-61.45,BR,4.74,26,91,74.61,1603069216
215,abapo,-18.83,-63.47,BO,3.51,58,40,78.91,1603069482
216,rapid city,44.08,-103.23,US,9.17,90,92,28.0,1603069249
217,broome,42.25,-75.83,US,8.05,90,46,55.0,1603069482
218,camacha,33.08,-16.33,PT,28.86,40,88,71.6,1603069388
219,taoudenni,22.68,-3.98,ML,6.51,0,17,80.56,1603069482
220,iseyin,7.97,3.6,NG,4.81,2,98,72.46,1603069482
221,cabedelo,-6.98,-34.83,BR,5.82,75,88,75.2,1603069483
222,pangkalanbuun,-2.68,111.62,ID,2.24,97,83,79.48,1603069483
223,lagoa,39.05,-27.98,PT,23.53,0,70,63.41,1603069387
224,wasilla,61.58,-149.44,US,2.39,90,86,34.0,1603069483
225,am timan,11.03,20.28,TD,4.18,63,58,73.13,1603069484
226,grand-santi,4.25,-54.38,GF,3.62,98,62,81.79,1603069484
227,abu dhabi,24.47,54.37,AE,3.36,0,33,77.0,1603069204
228,new norfolk,-42.78,147.06,AU,4.0,98,62,61.0,1603069473
229,koutsouras,35.03,25.95,GR,4.0,14,73,72.0,1603069484
230,tabuleiro do norte,-5.25,-38.13,BR,12.57,14,71,79.05,1603069485
231,sur,22.57,59.53,OM,17.09,10,50,81.55,1603069680
232,tutoia,-2.76,-42.27,BR,14.07,0,79,80.11,1603069485
233,khash,28.22,61.22,IR,7.47,0,46,45.61,1603069775
234,isangel,-19.55,169.27,VU,3.36,75,69,80.6,1603069585
235,shimoda,34.67,138.95,JP,12.75,75,82,60.8,1603069388
236,palafrugell,41.92,3.16,ES,2.24,20,100,53.01,1603069486
237,atar,20.52,-13.05,MR,8.97,63,27,86.97,1603069586
238,clarence town,-32.58,151.78,AU,14.99,75,88,66.0,1603069486
239,dzhebariki-khaya,62.22,135.8,RU,3.71,100,93,17.65,1603069486
240,hualmay,-11.1,-77.61,PE,8.99,0,83,62.15,1603069587
241,fukue,32.69,128.84,JP,11.41,75,60,68.0,1603069487
242,pochutla,15.74,-96.47,MX,4.76,75,62,86.0,1603069487
243,poya,-21.35,165.15,NC,3.47,0,46,79.11,1603069487
244,tanout,14.97,8.89,NE,9.13,0,13,86.36,1603069487
245,saint-joseph,-21.37,55.62,RE,8.05,15,60,69.8,1603069488
246,codrington,-38.27,141.97,AU,7.4,100,76,55.9,1603069289
247,margate,51.38,1.39,GB,7.76,100,79,51.01,1603069466
248,katete,-0.78,29.75,UG,1.83,100,100,61.56,1603069684
249,pevek,69.7,170.31,RU,17.13,28,93,26.33,1603069489
250,ketchikan,55.34,-131.65,US,5.82,90,93,41.0,1603069489
251,cherskiy,68.75,161.3,RU,6.82,98,93,23.63,1603069489
252,koungou,-12.73,45.2,YT,3.36,40,83,75.2,1603069489
253,richards bay,-28.78,32.04,ZA,10.11,98,79,71.11,1603069490
254,tiksi,71.69,128.87,RU,17.6,92,94,15.71,1603069490
255,roseburg,43.22,-123.34,US,3.36,40,49,73.4,1603069490
256,bulawayo,-20.15,28.58,ZW,4.36,0,35,68.59,1603069490
257,dibulla,11.27,-73.31,CO,3.29,88,83,80.6,1603069491
258,itoman,26.12,127.67,JP,13.87,20,69,82.4,1603069491
259,khatanga,71.97,102.5,RU,8.81,0,86,6.76,1603069491
260,topeka,39.05,-95.68,US,8.05,90,52,45.0,1603069491
261,verkhnyaya inta,65.98,60.31,RU,5.32,2,96,20.97,1603069492
262,palmer,42.16,-72.33,US,4.7,75,66,48.2,1603069781
263,carnarvon,-24.87,113.63,AU,12.75,90,78,71.6,1603069492
264,luderitz,-26.65,15.16,NA,16.98,0,54,62.1,1603069492
265,kilindoni,-7.91,39.67,TZ,9.44,48,79,78.85,1603069492
266,hovd,48.01,91.64,MN,8.03,0,69,36.63,1603069688
267,boa vista,2.82,-60.67,BR,6.93,95,62,84.2,1603069256
268,sept-iles,50.2,-66.38,CA,5.82,75,93,39.99,1603069783
269,takoradi,4.88,-1.76,GH,6.73,16,89,76.44,1603069493
270,sao felix do xingu,-6.64,-51.99,BR,2.91,0,58,78.8,1603069493
271,havelock,34.88,-76.9,US,7.54,97,92,66.0,1603069494
272,luganville,-15.53,167.17,VU,11.41,75,65,82.4,1603069271
273,maneadero,31.72,-116.57,MX,5.44,81,91,69.01,1603069494
274,hinton,53.4,-117.59,CA,2.93,100,91,20.61,1603069205
275,moron,-34.65,-58.62,AR,8.05,0,65,84.99,1603069596
276,flinders,-34.58,150.86,AU,5.99,48,66,66.0,1603069495
277,mayumba,-3.43,10.66,GA,9.46,100,89,77.27,1603069495
278,geeste,52.6,7.27,DE,4.85,100,93,46.99,1603069495
279,unity,52.45,-109.17,CA,4.0,0,80,20.19,1603069495
280,nanortalik,60.14,-45.24,GL,13.38,95,90,39.31,1603069496
281,zlobin,45.29,14.65,HR,2.24,0,87,51.01,1603069496
282,chlorakas,34.8,32.41,CY,8.05,44,49,68.0,1603069496
283,manzanillo,20.34,-77.12,CU,3.24,100,86,77.5,1603069691
284,chanika,-5.42,38.02,TZ,3.62,88,86,68.16,1603069496
285,pacific grove,36.62,-121.92,US,8.05,1,53,73.4,1603069497
286,fairbanks,64.84,-147.72,US,1.66,90,62,21.99,1603069296
287,longyearbyen,78.22,15.64,SJ,11.41,20,79,24.8,1603069497
288,alta floresta,-9.88,-56.09,BR,7.16,100,96,71.06,1603069203
289,mandalgovi,45.76,106.27,MN,14.18,5,55,39.18,1603069497
290,san policarpo,12.18,125.51,PH,7.65,100,82,81.73,1603069692
291,marovoay,-16.1,46.63,MG,6.93,20,60,75.2,1603069498
292,lincoln,40.8,-96.67,US,9.17,90,44,41.0,1603069203
293,vic,41.93,2.25,ES,1.83,6,91,53.01,1603069499
294,batagay,67.63,134.63,RU,3.15,100,95,14.52,1603069600
295,wattegama,6.8,81.48,LK,3.36,20,100,77.0,1603069788
296,gradsko,41.58,21.94,MK,2.39,0,86,39.2,1603069499
297,boca do acre,-8.75,-67.4,BR,3.65,100,67,80.01,1603069499
298,ancud,-41.87,-73.82,CL,4.7,75,81,45.0,1603069500
299,great yarmouth,52.61,1.73,GB,8.46,83,99,48.0,1603069500
300,beaune,47.08,4.75,FR,5.82,30,100,41.0,1603069500
301,novyy urengoy,66.08,76.63,RU,12.19,28,97,22.51,1603069500
302,quelimane,-17.88,36.89,MZ,2.35,0,94,65.95,1603069601
303,muros,42.78,-9.06,ES,11.41,100,48,61.0,1603069501
304,mazatan,14.87,-92.45,MX,3.36,75,89,84.2,1603069501
305,port augusta,-32.5,137.77,AU,6.93,100,59,66.0,1603069501
306,guiyang,26.58,106.72,CN,6.71,90,81,51.8,1603069302
307,ulaanbaatar,47.91,106.88,MN,2.24,75,79,21.2,1603069313
308,kavieng,-2.57,150.8,PG,7.61,29,66,85.53,1603069304
309,alugan,12.22,125.48,PH,7.56,100,83,81.45,1603069502
310,pisco,-13.7,-76.22,PE,12.75,90,82,66.0,1603069466
311,jalingo,8.88,11.37,NG,3.15,0,80,74.88,1603069503
312,okmulgee,35.62,-95.96,US,12.75,90,100,48.2,1603069399
313,isla aguada,18.78,-91.47,MX,9.17,20,78,82.4,1603069697
314,yarada,17.65,83.27,IN,2.24,90,100,80.6,1603069503
315,bosaso,11.28,49.18,SO,5.7,0,45,80.37,1603069544
316,kasempa,-13.46,25.83,ZM,5.95,0,32,64.81,1603069504
317,clyde river,70.47,-68.59,CA,17.22,90,97,32.0,1603069306
318,iquitos,-3.75,-73.25,PE,2.24,75,88,78.8,1603069504
319,bilibino,68.05,166.44,RU,2.28,97,95,19.45,1603069504
320,fort dodge,42.5,-94.17,US,8.05,1,51,39.0,1603069505
321,nenjiang,49.18,125.22,CN,3.87,0,65,41.04,1603069505
322,el prat de llobregat,41.33,2.09,ES,9.17,20,76,57.99,1603069505
323,shahr-e babak,30.12,55.12,IR,3.0,0,62,38.62,1603069505
324,ilheus,-14.79,-39.05,BR,6.29,24,86,72.68,1603069219
325,port hawkesbury,45.62,-61.35,CA,6.93,1,87,48.0,1603069385
326,keffi,8.85,7.87,NG,0.65,1,91,73.13,1603069506
327,juneau,58.3,-134.42,US,4.7,75,64,41.0,1603069506
328,biltine,14.53,20.92,TD,11.23,86,18,83.43,1603069506
329,uruzgan,32.83,66.0,AF,4.85,0,63,38.21,1603069506
330,sao jose da coroa grande,-8.9,-35.15,BR,6.51,84,77,74.5,1603069506
331,san patricio,28.02,-97.52,US,17.22,20,74,80.6,1603069308
332,bethel,41.37,-73.41,US,5.21,1,87,51.01,1603069507
333,grand gaube,-20.01,57.66,MU,5.01,0,72,73.0,1603069507
334,vao,-22.67,167.48,NC,14.99,0,78,71.64,1603069507
335,sioux lookout,50.1,-91.92,CA,5.82,40,74,28.4,1603069508
336,konispol,39.66,20.18,AL,2.24,20,87,57.99,1603069508
337,taos,36.41,-105.57,US,16.11,1,12,69.8,1603069508
338,baykit,61.67,96.37,RU,12.86,100,93,26.6,1603069508
339,whitehaven,54.55,-3.58,GB,4.0,94,92,51.01,1603069243
340,porvoo,60.39,25.67,FI,7.99,24,95,33.01,1603069509
341,narsaq,60.92,-46.05,GL,5.82,100,89,37.4,1603069509
342,torrijos,39.98,-4.28,ES,9.35,94,40,57.0,1603069509
343,la vergne,36.02,-86.58,US,4.72,75,82,64.99,1603069509
344,junction city,39.03,-96.83,US,9.17,90,42,48.2,1603069509
345,qandala,11.47,49.87,SO,4.12,0,44,80.91,1603069510
346,vanino,49.09,140.25,RU,10.56,100,59,39.18,1603069510
347,bilma,18.69,12.92,NE,5.1,0,17,79.54,1603069510
348,nizhneudinsk,54.91,99.03,RU,7.34,99,90,31.24,1603069511
349,nalut,30.33,10.85,LY,16.58,0,63,58.06,1603069610
350,benguela,-12.58,13.41,AO,4.52,51,78,74.41,1603069511
351,padang,-0.95,100.35,ID,1.19,19,71,82.31,1603069511
352,geraldton,-28.77,114.6,AU,13.87,90,77,69.8,1603069511
353,masingbi,8.78,-11.95,SL,1.32,100,96,73.4,1603069511
354,horta,38.53,-28.63,PT,18.57,20,72,63.01,1603069512
355,victor harbor,-35.57,138.62,AU,6.6,70,68,60.01,1603069704
356,orikum,40.33,19.47,AL,8.61,0,64,61.97,1603069512
357,cabra,37.47,-4.44,ES,6.76,9,52,57.99,1603069512
358,jonava,55.08,24.28,LT,6.93,0,85,37.4,1603069512
359,pucallpa,-8.38,-74.55,PE,1.77,90,54,82.92,1603069686
360,varkkallai,8.73,76.71,IN,3.83,20,88,78.8,1603069513
361,hamilton,39.18,-84.53,US,5.82,90,71,57.2,1603069304
362,frechen,50.92,6.82,DE,2.24,75,87,51.01,1603069513
363,columbus,39.96,-83.0,US,6.93,90,67,57.2,1603069513
364,binabalian,16.42,119.93,PH,5.86,33,77,82.4,1603069513
365,saint andrews,34.05,-81.13,US,3.36,1,68,64.4,1603069514
366,mpika,-11.83,31.45,ZM,3.89,0,69,61.68,1603069514
367,lamar,33.67,-95.58,US,8.05,90,69,77.0,1603069613
368,jacqueville,5.21,-4.41,CI,8.05,20,88,78.8,1603069514
369,mercedes,-34.65,-59.43,AR,3.0,0,69,82.0,1603069514
370,olinda,-8.01,-34.86,BR,11.41,40,69,78.8,1603069644
371,dasoguz,41.84,59.97,TM,9.17,0,42,44.6,1603069515
372,esqueda,30.72,-109.58,MX,9.15,30,19,74.35,1603069802
373,el carmen,8.51,-73.45,CO,3.71,100,91,69.94,1603069802
374,ondjiva,-17.07,15.73,AO,4.68,0,22,71.22,1603069802
375,alice springs,-23.7,133.88,AU,11.41,75,38,73.4,1603069565
376,sorong,-0.88,131.25,ID,10.29,100,74,83.62,1603069803
377,flin flon,54.77,-101.86,CA,9.35,84,94,26.4,1603069803
378,ilulissat,69.22,-51.1,GL,20.8,100,69,48.2,1603069516
379,kamaishi,39.27,141.88,JP,1.12,75,87,55.4,1603069804
380,nemuro,43.32,145.57,JP,10.29,20,51,60.8,1603069804
381,acapulco,16.86,-99.89,MX,11.41,90,83,84.2,1603069697
382,semirom,31.42,51.57,IR,1.28,0,83,30.51,1603069804
383,waitati,-45.75,170.57,NZ,5.99,100,89,51.01,1603069804
384,oudtshoorn,-33.59,22.2,ZA,3.36,57,100,53.6,1603069805
385,raga,8.46,25.68,SS,3.18,23,91,69.55,1603069805
386,umm kaddadah,13.6,26.69,SD,5.55,0,16,81.81,1603069805
387,asfi,32.3,-9.24,MA,6.44,0,67,65.7,1603069806
